iter	Passed	Remaining
0	1	162
1	3	149
2	4	146
3	5	137
4	7	135
5	8	138
6	10	138
7	12	138
8	13	136
9	14	134
10	16	131
11	17	129
12	18	126
13	20	123
14	21	124
15	23	122
16	24	120
17	26	118
18	27	116
19	28	114
20	29	112
21	31	110
22	32	108
23	34	107
24	35	106
25	36	104
26	38	103
27	39	101
28	40	99
29	41	97
30	43	96
31	44	94
32	45	92
33	46	91
34	48	89
35	49	88
36	51	86
37	52	85
38	53	83
39	54	82
40	55	80
41	56	78
42	57	76
43	58	75
44	60	73
45	61	72
46	62	71
47	64	69
48	65	68
49	66	66
50	67	65
51	69	63
52	70	62
53	71	61
54	72	59
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	48
63	84	47
64	85	46
65	87	44
66	88	43
67	90	42
68	91	41
69	92	39
70	94	38
71	95	37
72	96	35
73	97	34
74	99	33
75	100	31
76	101	30
77	103	29
78	104	27
79	105	26
80	107	25
81	108	23
82	110	22
83	111	21
84	113	20
85	114	18
86	116	17
87	117	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	126	6
95	127	5
96	129	3
97	130	2
98	131	1
99	132	0
