iter	Passed	Remaining
0	157	157637
1	159	79478
2	161	53571
3	162	40584
4	164	32705
5	165	27368
6	165	23546
7	166	20700
8	167	18472
9	168	16685
10	169	15251
11	170	14032
12	171	12999
13	172	12161
14	174	11485
15	175	10821
16	177	10236
17	178	9713
18	178	9237
19	179	8805
20	180	8413
21	182	8091
22	182	7771
23	183	7473
24	184	7198
25	186	6975
26	188	6799
27	189	6587
28	190	6385
29	191	6195
30	192	6012
31	193	5841
32	194	5694
33	195	5547
34	196	5404
35	196	5269
36	197	5140
37	198	5034
38	200	4937
39	201	4843
40	202	4737
41	203	4639
42	204	4550
43	205	4467
44	206	4379
45	207	4295
46	207	4215
47	208	4138
48	209	4066
49	210	3996
50	211	3937
51	212	3878
52	213	3818
53	214	3765
54	216	3717
55	218	3687
56	219	3631
57	220	3577
58	221	3525
59	222	3482
60	223	3435
61	224	3391
62	225	3356
63	227	3323
64	230	3316
65	231	3282
66	233	3247
67	234	3210
68	235	3171
69	235	3132
70	236	3094
71	237	3059
72	238	3029
73	240	3005
74	242	2986
75	243	2965
76	244	2934
77	245	2902
78	246	2871
79	247	2841
80	247	2811
81	248	2782
82	249	2751
83	249	2724
84	250	2698
85	251	2672
86	252	2652
87	254	2637
88	257	2639
89	259	2619
90	261	2609
91	262	2589
92	263	2568
93	264	2546
94	264	2524
95	265	2503
96	266	2482
97	267	2465
98	270	2462
99	273	2457
100	274	2443
101	275	2428
102	276	2409
103	277	2390
104	278	2371
105	279	2353
106	279	2335
107	280	2319
108	282	2307
109	283	2295
110	285	2283
111	287	2275
112	288	2263
113	289	2249
114	290	2233
115	290	2216
116	291	2199
117	292	2183
118	292	2168
119	293	2154
120	294	2140
121	295	2129
122	297	2121
123	300	2120
124	302	2114
125	303	2102
126	303	2088
127	304	2075
128	305	2062
129	306	2048
130	306	2036
131	307	2023
132	308	2011
133	309	2000
134	310	1991
135	313	1990
136	315	1984
137	316	1974
138	316	1962
139	317	1950
140	318	1938
141	318	1926
142	319	1914
143	320	1904
144	321	1893
145	322	1884
146	322	1874
147	324	1866
148	326	1862
149	328	1860
150	329	1854
151	330	1845
152	331	1835
153	332	1827
154	333	1817
155	334	1808
156	335	1798
157	336	1790
158	336	1781
159	338	1778
160	340	1774
161	343	1776
162	344	1769
163	345	1761
164	346	1753
165	347	1744
166	348	1736
167	348	1728
168	349	1720
169	351	1714
170	353	1712
171	354	1707
172	356	1706
173	357	1699
174	358	1692
175	359	1685
176	360	1678
177	362	1672
178	362	1664
179	363	1657
180	364	1650
181	365	1644
182	368	1644
183	370	1644
184	373	1644
185	374	1638
186	375	1632
187	376	1625
188	377	1619
189	378	1613
190	381	1617
191	384	1616
192	386	1615
193	387	1609
194	388	1602
195	389	1596
196	390	1589
197	390	1582
198	391	1575
199	392	1568
200	392	1562
201	393	1555
202	398	1564
203	400	1561
204	401	1557
205	402	1550
206	403	1544
207	404	1538
208	404	1532
209	405	1526
210	406	1519
211	407	1513
212	408	1507
213	411	1511
214	413	1509
215	414	1505
216	416	1503
217	417	1497
218	418	1491
219	419	1487
220	420	1482
221	421	1477
222	422	1471
223	423	1465
224	424	1462
225	426	1459
226	427	1455
227	428	1450
228	429	1445
229	431	1443
230	432	1438
231	432	1432
232	433	1427
233	434	1421
234	435	1416
235	435	1410
236	436	1405
237	438	1405
238	441	1404
239	445	1409
240	446	1405
241	447	1400
242	448	1396
243	449	1391
244	449	1386
245	450	1382
246	451	1377
247	453	1374
248	455	1372
249	457	1373
250	459	1370
251	460	1366
252	461	1362
253	462	1358
254	463	1354
255	464	1350
256	466	1349
257	468	1346
258	469	1343
259	470	1339
260	471	1335
261	472	1331
262	473	1327
263	474	1322
264	475	1317
265	475	1312
266	476	1308
267	477	1303
268	477	1298
269	478	1294
270	479	1290
271	482	1290
272	486	1294
273	487	1291
274	488	1287
275	489	1283
276	490	1279
277	490	1274
278	491	1270
279	492	1266
280	493	1261
281	494	1257
282	495	1254
283	496	1251
284	498	1250
285	500	1249
286	501	1246
287	502	1242
288	503	1238
289	504	1234
290	504	1229
291	505	1225
292	506	1221
293	507	1217
294	507	1213
295	509	1210
296	510	1208
297	512	1206
298	513	1204
299	515	1203
300	516	1199
301	517	1196
302	518	1192
303	519	1188
304	520	1185
305	521	1181
306	522	1179
307	523	1176
308	525	1175
309	528	1175
310	529	1172
311	530	1169
312	531	1165
313	532	1162
314	532	1159
315	533	1155
316	535	1152
317	536	1149
318	537	1147
319	539	1146
320	541	1144
321	542	1141
322	542	1137
323	543	1134
324	544	1130
325	545	1127
326	546	1123
327	546	1120
328	547	1116
329	548	1113
330	549	1110
331	550	1107
332	551	1105
333	553	1103
334	556	1104
335	557	1102
336	558	1098
337	559	1095
338	560	1092
339	560	1088
340	561	1085
341	562	1082
342	563	1079
343	564	1075
344	567	1076
345	569	1077
346	571	1074
347	572	1072
348	573	1068
349	574	1066
350	574	1063
351	575	1059
352	576	1056
353	577	1053
354	578	1050
355	579	1047
356	581	1046
357	584	1048
358	586	1047
359	587	1044
360	588	1041
361	589	1038
362	590	1035
363	590	1032
364	591	1029
365	592	1026
366	593	1024
367	595	1021
368	596	1020
369	597	1018
370	599	1015
371	599	1012
372	600	1010
373	601	1007
374	602	1004
375	603	1001
376	603	998
377	604	994
378	605	991
379	606	988
380	606	985
381	607	983
382	612	986
383	613	984
384	614	982
385	615	979
386	616	976
387	617	973
388	618	970
389	618	968
390	619	965
391	620	962
392	621	959
393	622	956
394	623	954
395	624	952
396	626	951
397	629	951
398	630	949
399	630	946
400	631	943
401	632	940
402	633	937
403	633	935
404	634	932
405	635	929
406	636	926
